"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0090407","GO:0090407","""organophosphate biosynthetic process""","122","13","10.66","0.000140438843630452","0.00419526624060772","8616518,8617197,8618583,8620524,8621204,8621459,8623635,8623776,8623972,8624472,8625973,8627225,8628843"
"GO:0046031","GO:0046031","""ADP metabolic process""","17","5","29.41","0.000150670112240298","0.00437230316186847","8619300,8619591,8620524,8622529,8626225"
"GO:0009179","GO:0009179","""purine ribonucleoside diphosphate metabolic process""","17","5","29.41","0.000150670112240298","0.00437230316186847","8619300,8619591,8620524,8622529,8626225"
"GO:0006090","GO:0006090","""pyruvate metabolic process""","17","5","29.41","0.000150670112240298","0.00437230316186847","8619300,8619591,8620524,8622529,8626225"
"GO:0006629","GO:0006629","""lipid metabolic process""","196","17","8.67","0.000181085807575869","0.0052053627894686","8616518,8616852,8617066,8617197,8617202,8617234,8617636,8618269,8618583,8618724,8619779,8621168,8623635,8624007,8626563,8627225,8628181"
"GO:0009308","GO:0009308","""amine metabolic process""","10","4","40","0.000190252946664829","0.00536759933784939","8623776,8623972,8624069,8624472"
"GO:0006119","GO:0006119","""oxidative phosphorylation""","10","4","40","0.000190252946664829","0.00536759933784939","8617392,8620073,8623406,8624195"
"GO:0006165","GO:0006165","""nucleoside diphosphate phosphorylation""","18","5","27.78","0.000203180463552241","0.00552759707538999","8619300,8619591,8620524,8622529,8626225"
"GO:0046939","GO:0046939","""nucleotide phosphorylation""","18","5","27.78","0.000203180463552241","0.00552759707538999","8619300,8619591,8620524,8622529,8626225"
"GO:0009135","GO:0009135","""purine nucleoside diphosphate metabolic process""","18","5","27.78","0.000203180463552241","0.00552759707538999","8619300,8619591,8620524,8622529,8626225"
"GO:0009185","GO:0009185","""ribonucleoside diphosphate metabolic process""","18","5","27.78","0.000203180463552241","0.00552759707538999","8619300,8619591,8620524,8622529,8626225"
"GO:0070727","GO:0070727","""cellular macromolecule localization""","239","19","7.95","0.000237497377672057","0.00629264791101529","8616852,8617382,8617398,8618440,8618596,8620316,8620939,8620991,8621982,8624340,8624941,8625414,8625745,8626796,8626805,8627033,8627109,8628472,8629265"
"GO:0010467","GO:0010467","""gene expression""","610","36","5.9","0.000235894283484374","0.00629264791101529","8616111,8616267,8616791,8616928,8617007,8617226,8617276,8617455,8617765,8618220,8618472,8618670,8618956,8619731,8620455,8620756,8621318,8621459,8621598,8621982,8621994,8622192,8622690,8623303,8623598,8624247,8624586,8625284,8625991,8626140,8626305,8626539,8626719,8626796,8626812,8628289"
"GO:0008104","GO:0008104","""protein localization""","239","19","7.95","0.000237497377672057","0.00629264791101529","8616852,8617382,8617398,8618440,8618596,8620316,8620939,8620991,8621982,8624340,8624941,8625414,8625745,8626796,8626805,8627033,8627109,8628472,8629265"
"GO:0044260","GO:0044260","""cellular macromolecule metabolic process""","451","29","6.43","0.000249254315575714","0.00654722327206208","8616111,8616928,8617226,8618220,8618472,8618670,8618956,8619336,8619731,8620036,8620085,8620756,8621067,8622192,8622690,8623081,8623358,8623694,8623890,8624247,8624605,8624622,8625991,8626140,8626305,8626539,8626719,8626812,8628289"
"GO:0022904","GO:0022904","""respiratory electron transport chain""","11","4","36.36","0.000291433708290598","0.00758973084753379","8617392,8620073,8621736,8624195"
