ddb_g,AX4L846F_avr_00h,AX4L846F_avr_04h,AX4L846F_avr_08h,AX4L846F_avr_12h,AX4L846F_avr_16h,AX4L846F_avr_20h,B1.L846F_avr_00h,B1.L846F_avr_04h,B1.L846F_avr_08h,B1.L846F_avr_12h,B1.L846F_avr_16h,B1.L846F_avr_20h,
DDB_G0287469,695.350893,553.3242942,270.6642122,401.7304868,329.3034469,303.1427954,582.4186436,657.6796678,481.9453289,455.6265043,595.6963449,587.4181185,
DDB_G0287471,6.893280889,6.523633486,8.731469338,9.464768895,9.364361738,8.307666022,4.385138796,4.731748842,5.587917755,10.31109873,11.0408228,7.192463959,
DDB_G0287475,0,0.0250877,0.017047061,0.022337401,0.045310183,0.016124808,0.02681314,0,0.044061112,0,0.04480328,0.058740419,
DDB_G0287477,3.049446098,9.484244068,3.925867548,1.733533159,1.727687322,1.491630734,3.571195307,7.720342042,5.583115713,3.891476187,2.281005304,1.830548638,
DDB_G0287479,0,0.010803316,0.003651535,0,0,0.113195975,0.249442005,0.019755098,0.032242957,0.06094234,0.066265662,0.161059823,
DDB_G0287483,0.062195997,0.157531333,0.332675132,0.381620107,0.416508697,0.760715896,0,0.078723633,0.335002482,0.318552053,0.358103768,0.363301499,
DDB_G0287489,0,0,0,0,0.058747805,0.230567644,0.067702173,0,0,0,0,0,
DDB_G0287491,25.25232133,33.18400691,149.4333596,133.1787436,74.22847902,86.06700256,25.45118245,18.11409941,64.13476772,137.2842979,78.38990854,79.53531466,
DDB_G0287493,0.324446176,0.930480941,1.297377567,1.996859944,2.965248549,7.333191549,0.405738743,0.917249057,0.540745844,0.877490167,1.544914707,4.576619681,
DDB_G0287495,97.3148,47.89134318,18.00848406,10.78027774,19.60058683,19.95080522,137.0199264,59.10763319,37.86852999,20.32091742,20.01203465,26.39867054,
DDB_G0287497,8.408027671,15.10337343,8.119807731,10.46805235,10.79553126,7.874326212,11.53546394,13.59907708,10.36774568,9.46704467,9.649710957,8.847489767,
DDB_G0287499,0.878997418,1.211867195,0.600388657,4.380859776,4.685666687,2.370829974,0.79124252,2.448452609,1.348907882,1.053841121,5.665374304,2.449292283,
DDB_G0287501,0.008069912,0.010376579,0.023164458,0.075111386,0.037856834,0.072598277,0.017804341,0.005171072,0.02767244,0.024293967,0.05600362,0.05422866,
DDB_G0287503,0,0.172484037,0.111986889,0.086420042,0.05500383,0.082663766,0.008727233,0.027737798,0.1976379,0.037829826,0.030431082,0.057440373,
DDB_G0287505,3.99626307,43.28807296,71.96874766,80.36835561,131.0423976,136.1765829,2.720666635,23.70679867,58.55777075,124.949678,78.80018128,100.833047,
DDB_G0287507,158.6197019,281.3338358,78.84142736,28.53123037,22.06726539,17.52515373,197.7383098,337.5991205,117.7384523,85.71829635,56.88590025,32.08705994,
DDB_G0287509,100.5394196,124.4152248,61.30589294,14.96761444,9.59629188,6.515795671,102.4556977,76.29168617,89.5197841,39.2232089,17.03668995,12.70801172,
DDB_G0287511,1.5746565,2.250326774,9.764613461,15.70983015,17.39267151,14.67041149,1.693495281,1.940290129,5.495406884,11.13496369,13.46147943,11.58070616,
DDB_G0287513,118.4773118,18.21604288,12.38256807,12.94588312,8.815496649,8.217011906,142.2134332,28.32185165,15.97211986,22.44909079,9.774372447,9.756459632,
DDB_G0287515,22.77693727,21.15560579,59.96983027,100.3448105,88.62520885,104.5125692,23.46813905,20.82390518,44.5864014,73.62896244,106.7066282,117.2744006,
DDB_G0287517,20.55123037,16.88810463,7.088184514,4.439878918,1.997713271,0.971346082,27.4211915,21.24322561,11.80753349,10.05823277,6.302624493,3.44825923,
DDB_G0287519,291.7256251,34.89572835,25.22394358,112.3003869,112.3120057,235.718708,444.4472482,36.93024787,42.52369273,49.98148001,109.6864009,186.0394133,
