"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"aberrant mitotic sister chromatid segregation","aberrant mitotic sister chromatid segregation","""aberrant mitotic sister chromatid segregation""","2","0","0","1","1",""
"aberrant mitotic spindle elongation","aberrant mitotic spindle elongation","""aberrant mitotic spindle elongation""","1","0","0","1","1",""
"aberrant mitotic spindle organization","aberrant mitotic spindle organization","""aberrant mitotic spindle organization""","7","0","0","1","1",""
"aberrant molecular function","aberrant molecular function","""aberrant molecular function""","1","0","0","1","1",""
"aberrant mound color","aberrant mound color","""aberrant mound color""","2","0","0","1","1",""
"aberrant mound size","aberrant mound size","""aberrant mound size""","1","0","0","1","1",""
"aberrant myosin II filament organization","aberrant myosin II filament organization","""aberrant myosin II filament organization""","5","0","0","1","1",""
"aberrant negative chemotaxis","aberrant negative chemotaxis","""aberrant negative chemotaxis""","2","0","0","1","1",""
"aberrant nuclear envelope morphology","aberrant nuclear envelope morphology","""aberrant nuclear envelope morphology""","1","0","0","1","1",""
"aberrant nuclear membrane organization","aberrant nuclear membrane organization","""aberrant nuclear membrane organization""","1","0","0","1","1",""
"aberrant nucleus morphology","aberrant nucleus morphology","""aberrant nucleus morphology""","5","0","0","1","1",""
"aberrant nucleus organization","aberrant nucleus organization","""aberrant nucleus organization""","1","0","0","1","1",""
"aberrant organelle organization","aberrant organelle organization","""aberrant organelle organization""","0","0","NaN","1","1",""
"aberrant osmosensory signaling pathway","aberrant osmosensory signaling pathway","""aberrant osmosensory signaling pathway""","1","0","0","1","1",""
"aberrant phagocytosis","aberrant phagocytosis","""aberrant phagocytosis""","10","0","0","1","1",""
"aberrant phagolysosome formation","aberrant phagolysosome formation","""aberrant phagolysosome formation""","1","0","0","1","1",""
"aberrant phagosome maturation","aberrant phagosome maturation","""aberrant phagosome maturation""","16","0","0","1","1",""
"aberrant phosphatidylinositol metabolism","aberrant phosphatidylinositol metabolism","""aberrant phosphatidylinositol metabolism""","1","0","0","1","1",""
"aberrant phototaxis","aberrant phototaxis","""aberrant phototaxis""","14","0","0","1","1",""
"aberrant pinosome maturation","aberrant pinosome maturation","""aberrant pinosome maturation""","2","0","0","1","1",""
"aberrant plasma membrane organization","aberrant plasma membrane organization","""aberrant plasma membrane organization""","1","0","0","1","1",""
"aberrant pore formation during contractile vacuole discharge","aberrant pore formation during contractile vacuole discharge","""aberrant pore formation during contractile vacuole discharge""","1","0","0","1","1",""
"aberrant positive regulation of mitochondrial membrane potential","aberrant positive regulation of mitochondrial membrane potential","""aberrant positive regulation of mitochondrial membrane potential""","1","0","0","1","1",""
"aberrant post-lysosomal vacuole exocytosis","aberrant post-lysosomal vacuole exocytosis","""aberrant post-lysosomal vacuole exocytosis""","1","0","0","1","1",""
"aberrant prespore cell differentiation","aberrant prespore cell differentiation","""aberrant prespore cell differentiation""","4","0","0","1","1",""
"aberrant prespore gene expression","aberrant prespore gene expression","""aberrant prespore gene expression""","6","0","0","1","1",""
"aberrant prestalk A cell differentiation","aberrant prestalk A cell differentiation","""aberrant prestalk A cell differentiation""","1","0","0","1","1",""
"aberrant prestalk B cell differentiation","aberrant prestalk B cell differentiation","""aberrant prestalk B cell differentiation""","1","0","0","1","1",""
"aberrant prestalk O cell differentiation","aberrant prestalk O cell differentiation","""aberrant prestalk O cell differentiation""","2","0","0","1","1",""
"aberrant prestalk cell differentiation","aberrant prestalk cell differentiation","""aberrant prestalk cell differentiation""","7","0","0","1","1",""
"aberrant prestalk gene expression","aberrant prestalk gene expression","""aberrant prestalk gene expression""","8","0","0","1","1",""
"aberrant production of siRNA involved in RNA interference","aberrant production of siRNA involved in RNA interference","""aberrant production of siRNA involved in RNA interference""","4","0","0","1","1",""
"aberrant protein level","aberrant protein level","""aberrant protein level""","3","0","0","1","1",""
"aberrant protein localization to autophagosome","aberrant protein localization to autophagosome","""aberrant protein localization to autophagosome""","1","0","0","1","1",""
"aberrant protein localization to basolateral plasma membrane","aberrant protein localization to basolateral plasma membrane","""aberrant protein localization to basolateral plasma membrane""","1","0","0","1","1",""
"aberrant protein localization to cell cortex","aberrant protein localization to cell cortex","""aberrant protein localization to cell cortex""","3","0","0","1","1",""
"aberrant protein localization to cell surface","aberrant protein localization to cell surface","""aberrant protein localization to cell surface""","1","0","0","1","1",""
"aberrant protein localization to clathrin-coated pit","aberrant protein localization to clathrin-coated pit","""aberrant protein localization to clathrin-coated pit""","1","0","0","1","1",""
"aberrant protein localization to contractile vacuole","aberrant protein localization to contractile vacuole","""aberrant protein localization to contractile vacuole""","2","0","0","1","1",""
"aberrant protein localization to cytoplasm","aberrant protein localization to cytoplasm","""aberrant protein localization to cytoplasm""","3","0","0","1","1",""
"aberrant protein localization to cytoplasmic vesicle","aberrant protein localization to cytoplasmic vesicle","""aberrant protein localization to cytoplasmic vesicle""","1","0","0","1","1",""
"aberrant protein localization to lysosomal membrane","aberrant protein localization to lysosomal membrane","""aberrant protein localization to lysosomal membrane""","0","0","NaN","1","1",""
"aberrant protein localization to mitotic spindle","aberrant protein localization to mitotic spindle","""aberrant protein localization to mitotic spindle""","2","0","0","1","1",""
"aberrant protein localization to nuclear envelope","aberrant protein localization to nuclear envelope","""aberrant protein localization to nuclear envelope""","1","0","0","1","1",""
"aberrant protein localization to nucleus","aberrant protein localization to nucleus","""aberrant protein localization to nucleus""","6","0","0","1","1",""
"aberrant protein localization to plasma membrane","aberrant protein localization to plasma membrane","""aberrant protein localization to plasma membrane""","12","0","0","1","1",""
"aberrant protein localization to post-lysosomal vacuole","aberrant protein localization to post-lysosomal vacuole","""aberrant protein localization to post-lysosomal vacuole""","1","0","0","1","1",""
"aberrant protein localization to pseudopodium","aberrant protein localization to pseudopodium","""aberrant protein localization to pseudopodium""","1","0","0","1","1",""
